"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net8.0/win-x64/publish/Construct.deps.json", "JSON", 0, 0, 201, 0, 0, 0, 201
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/Monolith.deps.json", "JSON", 0, 0, 153, 0, 0, 0, 153
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/osx-arm64/Monolith.deps.json", "JSON", 0, 0, 832, 0, 0, 0, 832
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/osx-arm64/publish/Monolith.deps.json", "JSON", 0, 0, 768, 0, 0, 0, 768
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/osx-x64/Monolith.deps.json", "JSON", 0, 0, 832, 0, 0, 0, 832
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/osx-x64/publish/Monolith.deps.json", "JSON", 0, 0, 768, 0, 0, 0, 768
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/win-x64/Monolith.deps.json", "JSON", 0, 0, 830, 0, 0, 0, 830
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/bin/Release/net9.0/win-x64/publish/Monolith.deps.json", "JSON", 0, 0, 766, 0, 0, 0, 766
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Construct.csproj.nuget.dgspec.json", "JSON", 0, 0, 78, 0, 0, 0, 78
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Construct.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Construct.csproj.nuget.g.targets", "XML", 6, 0, 0, 0, 0, 0, 6
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net8.0/Construct.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 9, 5, 23
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net8.0/Construct.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/obj/Debug/net8.0/Construct.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
